Sentence,Sentiment,cleaned_text,encoded_sentiment,stematized_text,lemmatized_text
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,negative,nq got hit hard lower this am  looks like it has found support a  httpstkscosz,0,nq got hit hard lower thi am look like it ha found support a httpstkscosz,nq got hit hard lower this am look like it ha found support a httpstkscosz
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive,the company has established a g base station at about  feet at the foot of mount everest that will enable mountain climbers at the foot summit to surf the internet and even send videos of their exploits ,1,the compani ha establish a g base station at about feet at the foot of mount everest that will enabl mountain climber at the foot summit to surf the internet and even send video of their exploit,the company ha established a g base station at about foot at the foot of mount everest that will enable mountain climber at the foot summit to surf the internet and even send video of their exploit
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,positive,the pretax profit of the group s life insurance business increased to eurm from eurm ,1,the pretax profit of the group s life insur busi increas to eurm from eurm,the pretax profit of the group s life insurance business increased to eurm from eurm
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,negative,rt alphatrends vmarkets are still acting weak httpstkscoagn  spy qqq xlf smh iwm,0,rt alphatrend vmarket are still act weak httpstkscoagn spi qqq xlf smh iwm,rt alphatrends vmarkets are still acting weak httpstkscoagn spy qqq xlf smh iwm
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive,one of the installed elevators will be a doubledeck elevator  which enables more efficient use of the building s core space ,1,one of the instal elev will be a doubledeck elev which enabl more effici use of the build s core space,one of the installed elevator will be a doubledeck elevator which enables more efficient use of the building s core space
Just went long $ILMN,positive,just went long ilmn,1,just went long ilmn,just went long ilmn
Johnson Matthey share price slumps as company posts full-year results,negative,johnson matthey share price slumps as company posts fullyear results,0,johnson matthey share price slump as compani post fullyear result,johnson matthey share price slump a company post fullyear result
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive,technical indicators for the stock are bullish and sp gives nok a positive  stars out of  buy ranking ,1,technic indic for the stock are bullish and sp give nok a posit star out of buy rank,technical indicator for the stock are bullish and sp give nok a positive star out of buy ranking
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",negative,revenue for the quarter totaled  billion  down  percent from  billion in the fourth quarter in  ,0,revenu for the quarter total billion down percent from billion in the fourth quarter in,revenue for the quarter totaled billion down percent from billion in the fourth quarter in
The number of bodily injury cases quadrupled in 2000-2006 .,negative,the number of bodily injury cases quadrupled in  ,0,the number of bodili injuri case quadrupl in,the number of bodily injury case quadrupled in
"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",positive,according to ringman  finnish paper companies have acquired knowhow and capacity in paper recycling  which has turned out to be a successful strategy ,1,accord to ringman finnish paper compani have acquir knowhow and capac in paper recycl which ha turn out to be a success strategi,according to ringman finnish paper company have acquired knowhow and capacity in paper recycling which ha turned out to be a successful strategy
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,positive,the company also said that in poland a profitability program has been launched at the oborniki steel frame and sandwich panel plant ,1,the compani also said that in poland a profit program ha been launch at the oborniki steel frame and sandwich panel plant,the company also said that in poland a profitability program ha been launched at the oborniki steel frame and sandwich panel plant
And U.S. energy executives say high steel prices are threatening energy exploration .,negative,and us energy executives say high steel prices are threatening energy exploration ,0,and us energi execut say high steel price are threaten energi explor,and u energy executive say high steel price are threatening energy exploration
Tesco sales rise shows tentative recovery continues,positive,tesco sales rise shows tentative recovery continues,1,tesco sale rise show tent recoveri continu,tesco sale rise show tentative recovery continues
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive,nuan held up well after the big gains maybe were finally on the move on thisits still very undervalued and has major upside,1,nuan held up well after the big gain mayb were final on the move on thisit still veri undervalu and ha major upsid,nuan held up well after the big gain maybe were finally on the move on thisits still very undervalued and ha major upside
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive,london s leading shares today jumped almost  points  or    as the market opened ,1,london s lead share today jump almost point or as the market open,london s leading share today jumped almost point or a the market opened
